0.000,610,494
1.228,622,492
2.456,616,491
3.684,594,493
4.912,555,494
6.140,500,494
7.368,439,496
8.596,372,500
9.824,302,503
11.052,231,506
12.280,165,509
13.508,107,519
14.736,58,519
15.964,26,504
17.192,8,514
18.420,2,537
19.648,14,528
20.876,45,505
22.104,88,507
23.332,145,532
24.560,210,528
25.788,276,503
27.016,348,498
28.244,418,504
29.472,478,501
30.700,538,497
31.928,579,495
33.156,611,493
34.384,621,492
35.612,618,493
36.840,598,491
38.068,563,493
39.296,516,495
40.524,454,497
41.752,384,499
42.980,314,502
44.208,245,506
45.436,176,512
46.664,117,515
47.892,68,521
49.120,32,521
50.348,8,522
51.576,4,523
52.804,14,523
54.032,39,522
55.260,81,522
56.488,133,520
57.716,197,519
58.944,265,508
60.172,335,509
61.400,405,504
62.628,470,500
63.856,530,499
65.084,572,495
66.312,605,493
67.540,619,492
68.768,619,494
69.996,602,492
71.224,570,494
72.452,524,494
73.680,456,494
74.908,398,498
76.136,329,503
77.364,259,504
78.592,186,508
79.820,130,516
81.048,76,515
82.276,35,520
83.504,12,521
84.732,2,522
85.960,10,523
87.188,33,524
88.416,71,521
89.644,121,520
90.872,184,519
92.100,252,515
93.328,325,507
94.556,395,504
95.784,460,499
97.012,517,498
98.240,566,497
99.468,600,494
100.696,620,493
101.924,622,493
103.152,606,493
104.380,576,493
105.608,537,494
106.836,476,497
108.064,407,498
109.292,339,502
110.520,269,505
111.748,202,507
112.976,137,516
114.204,82,517
115.432,41,517
116.660,14,504
117.888,2,519
119.116,7,528
120.344,29,525
121.572,65,521
122.800,113,521
124.028,172,519
125.256,240,513
126.484,311,514
127.712,377,508
128.940,450,501
130.168,506,498
131.396,559,497
132.624,596,494
133.852,618,494
135.080,623,493
136.308,611,492
137.536,582,493
138.764,540,494
139.992,485,496
141.220,418,497
142.448,352,501
143.676,281,504
144.904,212,506
146.132,147,509
147.360,90,520
148.588,47,526
149.816,16,508
151.044,6,506
152.272,6,530
153.500,25,527
154.728,57,522
155.956,104,520
157.184,160,520
158.412,228,517
159.640,296,513
160.868,368,503
162.096,437,501
163.324,498,500
164.552,552,496
165.780,592,494
167.008,614,493
168.236,622,493
169.464,614,492
170.692,588,497
171.920,545,494
173.148,491,495
174.376,434,498
175.604,361,500
176.832,291,503
178.060,222,505
179.288,154,508
180.516,101,520
181.744,53,528
182.972,21,512
184.200,4,505
185.428,5,528
186.656,18,538
187.884,49,520
189.112,95,501
190.340,153,509
191.568,218,530
192.796,286,523
194.024,356,500
195.252,424,499
196.480,488,501
197.708,544,497
198.936,586,496
200.164,609,494
201.392,621,493
202.620,618,492
203.848,595,493
205.076,557,493
206.304,502,495
207.532,443,497
208.760,374,499
209.988,303,504
211.216,235,506
212.444,166,512
213.672,109,520
214.900,61,525
216.128,29,508
217.356,7,507
218.584,3,529
219.812,14,532
221.040,42,520
222.268,86,518
223.496,143,520
224.724,203,518
225.952,274,512
227.180,345,505
228.408,412,504
229.636,478,500
230.864,537,497
232.092,581,496
233.320,608,494
234.548,622,493
235.776,619,491
237.004,598,489
238.232,567,493
239.460,516,496
240.688,456,497
241.916,390,500
243.144,316,502
244.372,247,504
245.600,179,508
246.828,118,518
248.056,68,519
249.284,30,502
250.512,10,513
251.740,3,538
252.968,12,528
254.196,32,507
255.424,80,508
256.652,133,530
257.880,194,531
259.108,263,505
260.336,333,499
261.564,402,504
262.792,466,503
264.020,524,499
265.248,570,496
266.476,605,493
267.704,620,492
268.932,619,491
270.160,603,488
271.388,572,494
272.616,524,495
273.844,466,497
275.072,402,500
276.300,333,502
277.528,260,504
278.756,192,508
279.984,131,517
281.212,77,516
282.440,40,519
283.668,13,521
284.896,2,523
286.124,8,525
287.352,31,524
288.580,72,523
289.808,121,521
291.036,180,517
292.264,248,516
293.492,324,509
294.720,394,504
295.948,457,500
297.176,515,498
298.404,566,496
299.632,597,494
300.860,616,493
302.088,621,493
303.316,610,494
304.544,579,492
305.772,535,495
307.000,475,497
308.228,410,500
309.456,344,503
310.684,271,505
311.912,202,509
313.140,141,513
314.368,85,520
315.596,43,520
316.824,14,522
318.052,2,523
319.280,8,524
320.508,27,524
321.736,61,522
322.964,110,519
324.192,171,517
325.420,238,516
326.648,309,512
327.876,376,509
329.104,448,501
330.332,502,496
331.560,558,494
332.788,594,494
334.016,618,494
335.244,622,491
336.472,610,494
337.700,583,493
338.928,543,494
340.156,486,496
341.384,423,499
342.612,353,501
343.840,284,503
345.068,215,508
346.296,150,508
347.524,98,521
348.752,49,529
349.980,20,518
351.208,4,505
352.436,5,520
353.664,27,533
354.892,54,523
356.120,102,519
357.348,160,518
358.576,223,517
359.804,294,512
361.032,368,504
362.260,433,502
363.488,493,499
364.716,547,497
365.944,589,496
367.172,613,494
368.400,622,492
369.628,615,494
370.856,590,492
372.084,551,494
373.312,497,495
374.540,433,498
375.768,365,502
376.996,297,504
378.224,222,506
379.452,160,512
380.680,102,520
381.908,55,527
383.136,24,513
384.364,3,506
385.592,3,526
386.820,17,537
388.048,49,517
389.276,92,501
390.504,149,517
391.732,217,533
392.960,283,520
394.188,354,498
395.416,422,499
396.644,486,500
397.872,542,498
399.100,584,496
400.328,611,493
401.556,621,494
402.784,616,495
404.012,596,492
405.240,558,493
406.468,504,495
407.696,444,497
408.924,377,501
410.152,306,502
411.380,239,507
412.608,169,509
413.836,111,520
415.064,65,524
416.292,29,508
417.520,7,506
418.748,2,533
419.976,15,535
421.204,43,514
422.432,84,501
423.660,139,520
424.888,202,533
426.116,272,516
427.344,339,494
428.572,410,499
429.800,475,504
431.028,534,500
432.256,578,496
433.484,608,494
434.712,620,494
435.940,620,495
437.168,602,493
438.396,565,493
439.624,520,495
440.852,459,498
442.080,392,499
443.308,323,502
444.536,251,505
445.764,179,509
446.992,117,512
448.220,71,520
449.448,32,521
450.676,11,520
451.904,3,524
453.132,12,525
454.360,37,523
455.588,78,523
456.816,132,520
458.044,189,517
459.272,261,509
460.500,330,508
461.728,400,505
462.956,466,501
464.184,522,497
465.412,570,496
466.640,603,494
467.868,621,493
469.096,620,495
470.324,606,493
471.552,572,493
472.780,528,494
474.008,468,497
475.236,403,499
476.464,333,501
477.692,264,504
478.920,196,508
480.148,132,517
481.376,80,522
482.604,38,507
483.832,15,505
485.060,3,529
486.288,7,524
487.516,29,518
488.744,70,522
489.972,118,521
491.200,178,518
492.428,247,513
493.656,316,514
494.884,389,513
496.112,455,500
497.340,513,497
498.568,563,496
499.796,598,495
501.024,616,493
502.252,622,492
503.480,608,493
504.708,581,492
505.936,536,495
507.164,478,497
508.392,414,498
509.620,345,501
510.848,274,505
512.076,206,507
513.304,143,509
514.532,86,518
515.760,45,520
516.988,16,521
518.216,2,524
519.444,9,524
520.672,27,523
521.900,59,524
523.128,108,520
524.356,165,519
525.584,232,517
526.812,305,506
528.040,375,506
529.268,441,502
530.496,501,500
531.724,556,497
532.952,593,495
534.180,615,493
535.408,621,492
536.636,612,492
537.864,586,492
539.092,544,494
540.320,488,496
541.548,425,498
542.776,359,501
544.004,286,502
545.232,217,508
546.460,152,509
547.688,93,519
548.916,50,522
550.144,18,518
551.372,5,523
552.600,5,524
553.828,23,525
555.056,51,523
556.284,101,521
557.512,160,520
558.740,222,517
559.968,291,506
561.196,361,507
562.424,429,503
563.652,492,499
