0.000,30,560
1.228,13,553
2.456,6,541
3.684,2,528
4.912,6,518
6.140,23,499
7.368,40,484
8.596,68,476
9.824,101,463
11.052,137,454
12.280,178,445
13.508,218,437
14.736,270,430
15.964,316,429
17.192,362,427
18.420,409,423
19.648,453,428
20.876,493,431
22.104,532,438
23.332,564,442
24.560,589,456
25.788,606,464
27.016,620,474
28.244,623,487
29.472,622,499
30.700,612,514
31.928,592,530
33.156,568,540
34.384,537,555
35.612,500,560
36.840,460,572
38.068,416,582
39.296,370,586
40.524,324,591
41.752,276,593
42.980,226,594
44.208,182,592
45.436,143,591
46.664,106,586
47.892,73,580
49.120,44,569
50.348,26,558
51.576,10,550
52.804,2,539
54.032,4,527
55.260,11,509
56.488,23,498
57.716,47,482
58.944,74,472
60.172,108,458
61.400,145,453
62.628,189,442
63.856,232,434
65.084,280,430
66.312,327,425
67.540,371,426
68.768,421,421
69.996,462,427
71.224,501,432
72.452,540,438
73.680,567,444
74.908,594,457
76.136,609,465
77.364,620,477
78.592,622,488
79.820,619,502
81.048,607,515
82.276,585,531
83.504,561,542
84.732,529,552
85.960,490,565
87.188,452,571
88.416,406,584
89.644,360,588
90.872,309,591
92.100,266,594
93.328,220,596
94.556,171,591
95.784,133,589
97.012,95,584
98.240,65,576
99.468,39,568
100.696,19,554
101.924,7,547
103.152,2,535
104.380,3,522
105.608,12,504
106.836,28,494
108.064,52,479
109.292,82,470
110.520,117,458
111.748,154,449
112.976,200,442
114.204,241,433
115.432,290,428
116.660,339,424
117.888,388,427
119.116,431,425
120.344,472,428
121.572,514,436
122.800,547,437
124.028,579,449
125.256,597,458
126.484,612,469
127.712,622,482
128.940,623,493
130.168,617,505
131.396,603,518
132.624,582,535
133.852,554,546
135.080,523,558
136.308,479,569
137.536,436,573
138.764,396,589
139.992,348,589
141.220,299,592
142.448,253,592
143.676,207,596
144.904,164,595
146.132,122,586
147.360,89,583
148.588,56,571
149.816,32,563
151.044,15,554
152.272,5,545
153.500,2,533
154.728,6,520
155.956,16,500
157.184,33,491
158.412,58,477
159.640,88,468
160.868,128,456
162.096,164,448
163.324,213,438
164.552,256,431
165.780,304,435
167.008,350,423
168.236,397,427
169.464,440,426
170.692,481,429
171.920,520,439
173.148,554,439
174.376,583,453
175.604,603,461
176.832,617,470
178.060,623,483
179.288,618,494
180.516,612,508
181.744,598,524
182.972,577,541
184.200,547,549
185.428,507,557
186.656,471,570
187.884,428,576
189.112,380,584
190.340,337,595
191.568,287,595
192.796,241,592
194.024,198,594
195.252,154,592
196.480,111,582
197.708,81,583
198.936,52,570
200.164,29,562
201.392,14,553
202.620,4,541
203.848,1,529
205.076,6,514
206.304,21,501
207.532,40,487
208.760,68,474
209.988,98,466
211.216,138,453
212.444,174,444
213.672,219,436
214.900,267,430
216.128,313,427
217.356,362,422
218.584,407,424
219.812,453,426
221.040,489,431
222.268,533,437
223.496,562,441
224.724,588,455
225.952,606,464
227.180,617,475
228.408,622,485
229.636,621,498
230.864,613,515
232.092,593,527
233.320,568,540
234.548,540,553
235.776,500,560
237.004,462,572
238.232,417,579
239.460,373,586
240.688,327,590
241.916,277,595
243.144,230,592
244.372,183,592
245.600,146,593
246.828,106,585
248.056,74,581
249.284,47,570
250.512,24,559
251.740,10,550
252.968,2,538
254.196,2,528
255.424,12,512
256.652,23,497
257.880,44,485
259.108,75,472
260.336,106,462
261.564,144,449
262.792,185,445
264.020,236,436
265.248,278,428
266.476,326,427
267.704,370,422
268.932,417,427
270.160,465,425
271.388,498,433
272.616,540,438
273.844,569,443
275.072,592,458
276.300,608,464
277.528,622,476
278.756,623,490
279.984,618,499
281.212,606,515
282.440,588,531
283.668,560,542
284.896,531,553
286.124,491,564
287.352,453,573
288.580,407,583
289.808,359,588
291.036,314,589
292.264,266,595
293.492,221,596
294.720,174,591
295.948,136,590
297.176,96,586
298.404,66,578
299.632,38,568
300.860,20,556
302.088,7,548
303.316,1,535
304.544,5,525
305.772,12,502
307.000,28,495
308.228,50,481
309.456,82,472
310.684,114,460
311.912,156,449
313.140,197,441
314.368,241,432
315.596,288,427
316.824,337,426
318.052,387,426
319.280,428,425
320.508,472,426
321.736,508,434
322.964,548,437
324.192,577,450
325.420,598,458
326.648,612,461
327.876,621,483
329.104,623,490
330.332,616,505
331.560,604,518
332.788,583,536
334.016,555,545
335.244,523,556
336.472,482,567
337.700,440,571
338.928,398,586
340.156,350,591
341.384,302,592
342.612,254,594
343.840,210,592
345.068,165,593
346.296,124,586
347.524,90,582
348.752,56,573
349.980,34,562
351.208,16,554
352.436,4,543
353.664,2,532
354.892,5,522
356.120,15,501
357.348,33,490
358.576,57,479
359.804,88,466
361.032,124,457
362.260,162,444
363.488,207,440
364.716,256,432
365.944,299,427
367.172,348,425
368.400,395,426
369.628,438,428
370.856,482,427
372.084,517,436
373.312,553,440
374.540,580,452
375.768,602,464
376.996,615,472
378.224,622,485
379.452,620,494
380.680,614,505
381.908,598,522
383.136,577,538
384.364,548,550
385.592,517,555
386.820,471,569
388.048,429,576
389.276,386,581
390.504,337,593
391.732,292,593
392.960,242,593
394.188,200,596
395.416,156,592
396.644,116,584
397.872,82,582
399.100,51,573
400.328,30,563
401.556,15,556
402.784,4,541
404.012,2,530
405.240,6,516
406.468,20,501
407.696,38,488
408.924,65,476
410.152,98,465
411.380,132,458
412.608,174,444
413.836,212,434
415.064,264,430
416.292,312,426
417.520,358,425
418.748,405,426
419.976,451,426
421.204,489,430
422.432,530,438
423.660,562,441
424.888,586,454
426.116,607,463
427.344,616,472
428.572,624,486
429.800,621,497
431.028,610,514
432.256,593,529
433.484,571,542
434.712,541,553
435.940,503,562
437.168,464,572
438.396,420,579
439.624,373,585
440.852,327,593
442.080,280,594
443.308,230,590
444.536,188,591
445.764,146,592
446.992,107,585
448.220,75,581
449.448,47,571
450.676,27,559
451.904,10,552
453.132,2,538
454.360,1,528
455.588,10,513
456.816,24,497
458.044,44,484
459.272,72,474
460.500,104,460
461.728,142,451
462.956,185,445
464.184,228,436
465.412,277,428
466.640,325,426
467.868,370,425
469.096,416,424
470.324,460,429
471.552,499,431
472.780,537,438
474.008,569,443
475.236,592,456
476.464,609,464
477.692,620,476
478.920,622,488
480.148,619,501
481.376,610,515
482.604,589,531
483.832,563,542
485.060,534,554
486.288,493,566
487.516,454,572
488.744,409,586
489.972,363,586
491.200,312,591
492.428,269,592
493.656,222,596
494.884,176,591
496.112,136,592
497.340,98,584
498.568,67,578
499.796,39,568
501.024,20,556
502.252,7,548
503.480,2,536
504.708,4,526
505.936,12,505
507.164,28,496
508.392,49,479
509.620,78,470
510.848,114,459
512.076,151,450
513.304,197,441
514.532,239,433
515.760,286,429
516.988,335,423
518.216,380,429
519.444,426,426
520.672,469,427
521.900,508,433
523.128,545,438
524.356,573,444
525.584,596,458
526.812,612,465
528.040,620,480
529.268,623,491
530.496,616,504
531.724,603,516
532.952,584,536
534.180,556,544
535.408,524,557
536.636,482,566
537.864,442,571
539.092,398,586
540.320,350,589
541.548,302,592
542.776,258,592
544.004,212,596
545.232,167,592
546.460,125,588
547.688,90,585
548.916,58,573
550.144,38,564
551.372,16,554
552.600,6,545
553.828,2,534
555.056,4,521
556.284,13,502
557.512,34,493
558.740,54,477
559.968,88,468
561.196,123,457
562.424,160,448
563.652,207,440
564.880,250,434
566.108,298,430
567.336,342,425
568.564,396,428
569.792,437,426
571.020,476,429
572.248,518,434
573.476,552,438
574.704,581,451
575.932,600,462
577.160,614,471
578.388,622,483
579.616,621,494
580.844,614,507
582.072,601,521
583.300,577,538
584.528,552,548
585.756,517,557
586.984,475,569
588.212,430,573
589.440,387,586
590.668,342,590
591.896,293,594
593.124,248,593
594.352,200,596
595.580,158,593
596.808,118,585
598.036,84,584
599.264,54,572
600.492,30,564
601.720,15,556
602.948,4,543
604.176,2,531
605.404,6,518
606.632,20,501
607.860,38,490
609.088,64,476
610.316,95,466
611.544,131,454
612.772,169,445
